Tweets,Username,Created_at,User location,Coordinates
RT @timo_vaittinen: Imbros gorge at Crete #gorge #Crete #Greece #travel #Imbrosgorge https://t.co/L9f3vwc9Up,Cristob92378959,11/23/2019 21:29,"Florida, USA",-
Imbros gorge at Crete #gorge #Crete #Greece #travel #Imbrosgorge https://t.co/L9f3vwc9Up,timo_vaittinen,11/23/2019 16:06,"London,UK",-
RT @timo_vaittinen: Imbros gorge at Crete #gorge #Crete #Greece #travel #Imbrosgorge https://t.co/L9f3vwc9Up,Cristob92378959,11/23/2019 21:29,"Florida, USA",-
Imbros gorge at Crete #gorge #Crete #Greece #travel #Imbrosgorge https://t.co/L9f3vwc9Up,timo_vaittinen,11/23/2019 16:06,"London,UK",-
You can find all you want in #Crete and this is where you should go #travel https://t.co/g4gVee9h80 @livingincrete https://t.co/KsyVrHBhuU,Mel365dotCom,11/22/2019 20:36,"Florida, USA",-
You can find all you want in #Crete and this is where you should go #travel https://t.co/g4gVee9h80 @livingincrete https://t.co/KsyVrHBhuU,Mel365dotCom,11/22/2019 20:36,"St Kilda, Melbourne",-
"👤#KrisDM (krisbst08)
・・・
Thinking of you...❤️
•
•
•
•
•
Location: The Syntopia Hotel, Crete 🇬🇷 •
•
•
•
•… https://t.co/kIcVgPgZse",HoaxHot,11/21/2019 22:44,Philippines,"[[[24.5351174, 35.2700652], [24.7071309, 35.2700652], [24.7071309, 35.41292], [24.5351174, 35.41292]]]"
"Chania is beautiful also in Winter.
Explore this picturesque cretan town with our member Astraia Residence
#Crete… https://t.co/lgUTKRpWCb",AriaHotelsGR,11/21/2019 16:35,Greece,-
"RT @Havenlust: To me, you are perfect ... Knossos 🇬🇷
@VisitGreecegr💗

#travel #art #knossos #crete #greece #beauty #m #holidays #knossospal…",Julia_youkino,11/20/2019 8:31,,-
#Crete #Greece #Snapshots #Photography #May 2018 https://www. instagram.com/p/BnnvnG1gaAO/ ?utm_source=ig_twitter_share&igshid=10m2s0wwue8ry …,henrick@gm,9/12/2018 13:21,"London,UK",-
#Crete #Greece #Snapshots #Photography #May 2018 https://www. instagram.com/p/Bnnvix-jtVk/ ?utm_source=ig_twitter_share&igshid=9dnr6iqz53ti …,henrick@gm,9/12/2018 13:21,"London,UK",-
#Crete #Greece #Snapshots #Photography #May 2018 https://www. instagram.com/p/BnnvdgwA7vp/ ?utm_source=ig_twitter_share&igshid=17ycp9fb56q55 …,henrick@gm,9/12/2018 13:21,"London,UK",-
#Crete #Greece #Snapshots #Photography #May 2018 https://www. instagram.com/p/BnnvdgwA7vp/ ?utm_source=ig_twitter_share&igshid=17ycp9fb56q55 …,henrick@gm,9/12/2018 13:21,"London,UK",-
Already my last days here. I really enjoyed #crete I’ll be back 17th September. If u want to meet me before my surgery in the end of September send me on email -> nicolebanshee@ymail.com pic.twitter.com/xgkyZoxU92,henrick@gm,9/12/2018 9:24,"London,UK",-
Our Family Holiday in Crete! http:// allbabyadvice-blog.com/our-family-hol iday-in-crete-2/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost … #Crete #familytravel #travelblogger pic.twitter.com/5BnRSF5auW,henrick@gm,9/12/2018 8:06,"London,UK",-
Have you been on #Analipsis ? tag this beach on http:// beachmap.info app #beachphotography #travel #Crete #Greece #holidays #travelblogging #travelblogger #Κρήτη #beach #MobileApp https:// beachmap.info/ords/f?p=247:8 :::::P8_ID,henrick@gm,9/12/2018 8:00,"London,UK",-
#goodmorning #kalimera #view from our #HoneyMoon suite #Sunrise #Crete #santorini #greece @Blue Palace,henrick@gm,9/12/2018 7:07,"London,UK",-
An early bird this morning #Sunrise #Crete pic.twitter.com/vIjeDYsYPa,henrick@gm,9/12/2018 7:05,"London,UK",-
"RT @liliana_dorina: Rethymnon, Crete, Greece
September Sunset 
#Rethymnon #Crete #Greece #travelphotography #September2019 
📷#PanasonicLumi…",sumie_ram,11/27/2019 14:43,Japan,-
,,,,
